City,lat,lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Mariestad,58.7097,13.8237,4.27,82,17,8.44,SE,1644058555
Ubari,26.5921,12.7805,17.59,17,0,5.19,LY,1644058635
Ancud,-41.8697,-73.8203,11.79,87,3,0.98,CL,1644058572
Takoradze,4.8845,-1.7554,29.94,64,11,2.22,GH,1644058720
Bubaque,11.2833,-15.8333,25.25,43,0,2.39,GW,1644058791
Yumen,40.2833,97.2,-6.19,31,100,8.38,CN,1644058792
Puerto Ayora,-0.7393,-90.3518,23.64,95,68,1.79,EC,1644058335
Zhigansk,66.7697,123.3711,-36.18,100,100,1.88,RU,1644058792
Leshukonskoye,64.8989,45.7622,-14.2,95,83,3.05,RU,1644058792
Ciudad Bolivar,8.1222,-63.5497,22.32,87,26,3.5,VE,1644058571
Castro,-24.7911,-50.0119,20.44,93,99,2.23,BR,1644058369
Ballina,-28.8667,153.5667,22.98,69,75,7.72,AU,1644058695
Butaritari,3.0707,172.7902,28.24,75,21,8.56,KI,1644058342
City of San Pedro,14.35,121.0167,27.57,66,75,5.14,PH,1644058584
Wolsztyn,52.1155,16.1171,5.77,91,100,8.06,PL,1644058793
Lianzhou,24.7811,112.3825,8.98,81,72,1.44,CN,1644058793
Arraial do Cabo,-22.9661,-42.0278,25.92,83,20,4.63,BR,1644058247
Sittwe,20.15,92.9,24.2,68,5,3.78,MM,1644058587
Mataura,-46.1927,168.8643,8.07,85,51,0.5,NZ,1644058248
Coldwater,41.9403,-85.0005,-9.08,92,100,0.0,US,1644058794
Khovd,48.0056,91.6419,-23.11,98,5,0.44,MN,1644058597
Punta Arenas,-53.15,-70.9167,5.06,87,0,1.54,CL,1644058246
Nanortalik,60.1432,-45.2371,-10.28,58,49,16.1,GL,1644058355
Hofn,64.2539,-15.2082,-2.59,63,100,6.55,IS,1644058795
San Patricio,28.017,-97.5169,2.13,80,5,3.7,US,1644058795
Anadyr,64.75,177.4833,-20.72,71,0,5.0,RU,1644058335
Cape Town,-33.9258,18.4232,30.71,42,0,1.34,ZA,1644058316
Gori,41.9842,44.1158,-0.09,81,61,9.45,GE,1644058593
Yellowknife,62.456,-114.3525,-29.84,76,100,3.09,CA,1644058551
Lata,40.1629,-8.3327,14.84,62,78,2.85,PT,1644058556
Cabo San Lucas,22.8909,-109.9124,16.64,68,12,0.63,MX,1644058364
Lüderitz,-26.6481,15.1594,22.9,65,27,5.54,NA,1644058329
Hualmay,-11.0964,-77.6139,20.3,88,95,2.16,PE,1644058591
New Norfolk,-42.7826,147.0587,15.72,64,93,0.99,AU,1644058335
Barra de Tecoanapa,16.5167,-98.75,22.04,70,4,1.55,MX,1644058796
Batemans Bay,-35.7167,150.1833,19.39,83,87,3.62,AU,1644058697
Havre-St-Pierre,50.2334,-63.5986,-14.67,60,100,8.75,CA,1644058796
Malanje,-9.5402,16.341,21.21,88,75,3.09,AO,1644058796
Port Macquarie,-31.4333,152.9167,18.98,70,75,7.16,AU,1644058576
Tessalit,20.1986,1.0114,22.48,11,1,7.1,ML,1644058797
Namtsy,62.7161,129.6658,-31.94,100,100,0.32,RU,1644058797
Mayo,38.8876,-76.5119,0.53,70,75,3.13,US,1644058797
Grand Gaube,-20.0064,57.6608,29.22,78,100,4.47,MU,1644058797
Saint-Joseph,-21.3667,55.6167,29.21,80,100,7.5,RE,1644058797
